1569162260.613044023,0.698093-0.884432-2.25391,0.3695090.02309610.2161580.903441
1569162260.643758058,0.69811-0.884388-2.25377,0.3695490.02396990.2158460.903476
1569162260.677248001,0.698167-0.884397-2.25363,0.3695490.02466620.21580.903469
1569162260.710525989,0.698217-0.884381-2.25357,0.3694690.02486080.2158790.903477
1569162260.744972944,0.698307-0.884372-2.25368,0.3696540.02480910.2159320.90339
1569162260.779628038,0.698454-0.884337-2.25383,0.369360.02519570.2160370.903475
1569162260.809640884,0.698672-0.884314-2.25411,0.3699030.02480230.2161420.903238
1569162260.844891071,0.698914-0.884278-2.25433,0.3703850.02427720.2163950.902994
1569162260.876849889,0.69912-0.884254-2.25445,0.3706980.02410750.2166470.90281
1569162260.909756898,0.699357-0.884239-2.25452,0.3707970.02446480.2167640.902731
1569162260.943028926,0.699536-0.884193-2.25456,0.3711430.02450020.2170270.902525
1569162260.978065967,0.699717-0.884179-2.25467,0.3714840.02427190.2171610.902359
1569162261.010160923,0.699887-0.884141-2.25479,0.371740.02386270.2174350.902199
1569162261.044297933,0.700027-0.884124-2.25489,0.3719860.02348210.2176280.90206
1569162261.077898025,0.70012-0.884108-2.25496,0.3722710.02335330.2176950.90193
1569162261.111269950,0.700129-0.884073-2.25499,0.3725390.02320210.2175760.901852
1569162261.143248081,0.700057-0.88408-2.25501,0.372490.02278130.2175220.901896
1569162261.178318023,0.699899-0.884066-2.25497,0.3725360.02246770.2172760.901944
1569162261.212394952,0.699651-0.884096-2.2549,0.3723930.0221110.2167670.902135
1569162261.244510889,0.699286-0.884122-2.25473,0.3722620.02187420.2165040.902258
1569162261.276854038,0.698937-0.884113-2.25453,0.3718310.02134670.2160380.90256
1569162261.310904026,0.698574-0.884106-2.25431,0.3715170.02132080.2155140.902815
1569162261.344949960,0.698335-0.884088-2.25413,0.3714880.02217540.2151010.902904
1569162261.377681970,0.698177-0.884083-2.25413,0.3717050.02245850.2148010.90288
1569162261.411788940,0.698064-0.884017-2.25427,0.3718470.02206920.2145530.90289
1569162261.445272922,0.698102-0.884005-2.25451,0.372420.02190990.2145230.902664
1569162261.477885007,0.698144-0.883976-2.25473,0.3728880.02137070.2145920.902468
1569162261.511344909,0.698163-0.883994-2.25485,0.3729050.02118840.2147240.902434
1569162261.545042991,0.698167-0.883994-2.25486,0.3728320.02155430.2146790.902466
1569162261.578871965,0.698151-0.883941-2.25481,0.3731690.02166530.2145590.902353
1569162261.610964059,0.698131-0.883933-2.25479,0.3731650.02185890.214460.902373
1569162261.643727064,0.698147-0.883934-2.25476,0.3732490.02215970.2144120.902342
1569162261.677467107,0.698167-0.883953-2.25477,0.3733020.02204080.2144120.902323
1569162261.713141918,0.69818-0.883936-2.25476,0.3733090.02182990.2144240.902323
1569162261.743922948,0.69821-0.88392-2.25473,0.3733680.02189570.2144640.902287
1569162261.779421091,0.698243-0.883929-2.25469,0.3734010.02212470.2144170.902279
1569162261.810908079,0.698238-0.883914-2.25463,0.3732720.0220320.2143190.902358
1569162261.843313932,0.69824-0.88395-2.2546,0.3731060.02201090.2143830.902412
1569162261.876348018,0.698226-0.88393-2.25455,0.3731780.02214850.2143280.902392
1569162261.910295009,0.698195-0.883913-2.25452,0.3732150.02215390.2143040.902382
1569162261.944516897,0.698184-0.883917-2.25452,0.3732090.02207360.2141740.902418
1569162261.977967023,0.698176-0.883912-2.25455,0.3733150.02207630.2141610.902377
1569162262.012063026,0.698179-0.88392-2.25462,0.3735120.02188360.2141640.902299
1569162262.043781995,0.698169-0.883891-2.2546,0.3735010.02154880.2141980.902304
1569162262.077513933,0.698222-0.883911-2.25455,0.3734290.02171890.2142940.902307
1569162262.110316038,0.698272-0.883888-2.25443,0.3732740.02183650.214330.90236
1569162262.144396066,0.698328-0.883911-2.25434,0.3729580.021980.2144690.902454
1569162262.178535938,0.698476-0.883918-2.2543,0.3730850.02172470.2146630.902361
1569162262.210223913,0.698709-0.883919-2.25422,0.3729830.02163050.2150330.902317
1569162262.245512962,0.699114-0.883962-2.25423,0.373130.02152560.2156670.902108
1569162262.278557062,0.699507-0.883919-2.25426,0.3732050.02101140.2161160.901982
1569162262.311499118,0.699834-0.883929-2.25436,0.3730740.02070630.2167230.901897
1569162262.343077898,0.700101-0.883935-2.25446,0.3730270.0204740.2172640.901792
1569162262.378281116,0.70026-0.883912-2.25455,0.3733160.02040120.2174930.901618
1569162262.410785913,0.700331-0.883896-2.25468,0.3736440.02069780.2175150.90147
